#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_Plik_lite   ,          ,    1903.0 ,           ,     247.6000 ,      10.9000 ,      10.9000 ,             
Planck_Plik_lite   ,          ,    1920.0 ,           ,     255.3000 ,      11.2000 ,      11.2000 ,             
Planck_Plik_lite   ,          ,    1937.0 ,           ,     243.5000 ,      11.4000 ,      11.4000 ,             
Planck_Plik_lite   ,          ,    1954.0 ,           ,     233.2000 ,      11.6000 ,      11.6000 ,             
Planck_Plik_lite   ,          ,    1971.0 ,           ,     230.0000 ,      11.8000 ,      11.8000 ,             
Planck_Plik_lite   ,          ,    1988.0 ,           ,     225.3000 ,      12.1000 ,      12.1000 ,             
Planck_Plik_lite   ,          ,    2005.0 ,           ,     241.7000 ,      12.6000 ,      12.6000 ,             
Planck_Plik_lite   ,          ,    2030.0 ,           ,     233.4000 ,      11.8000 ,      11.8000 ,             
Planck_Plik_lite   ,          ,    2063.0 ,           ,     216.4000 ,      12.2000 ,      12.2000 ,             
Planck_Plik_lite   ,          ,    2096.0 ,           ,     206.4000 ,      12.7000 ,      12.7000 ,             
Planck_Plik_lite   ,          ,    2129.0 ,           ,     198.4000 ,      13.2000 ,      13.2000 ,             
Planck_Plik_lite   ,          ,    2162.0 ,           ,     169.4000 ,      13.7000 ,      13.7000 ,             
Planck_Plik_lite   ,          ,    2195.0 ,           ,     141.2000 ,      14.2000 ,      14.2000 ,             
Planck_Plik_lite   ,          ,    2228.0 ,           ,     132.3000 ,      14.8000 ,      14.8000 ,             
Planck_Plik_lite   ,          ,    2261.0 ,           ,     117.8000 ,      15.4000 ,      15.4000 ,             
Planck_Plik_lite   ,          ,    2294.0 ,           ,     117.3000 ,      16.1000 ,      16.1000 ,             
Planck_Plik_lite   ,          ,    2327.0 ,           ,     110.5000 ,      16.9000 ,      16.9000 ,             
Planck_Plik_lite   ,          ,    2360.0 ,           ,     114.9000 ,      17.7000 ,      17.7000 ,             
Planck_Plik_lite   ,          ,    2393.0 ,           ,     122.5000 ,      18.7000 ,      18.7000 ,             
Planck_Plik_lite   ,          ,    2426.0 ,           ,      83.8000 ,      19.6000 ,      19.6000 ,             
Planck_Plik_lite   ,          ,    2459.0 ,           ,      84.1000 ,      20.7000 ,      20.7000 ,             
Planck_Plik_lite   ,          ,    2492.0 ,           ,      75.9000 ,      21.8000 ,      21.8000 ,             
SPT                ,          ,     675.0 ,           ,    1781.7000 ,      75.8000 ,      75.8000 ,             
SPT                ,          ,     725.0 ,           ,    1935.0000 ,      83.8000 ,      83.8000 ,             
SPT                ,          ,     775.0 ,           ,    2421.3000 ,      92.7000 ,      92.7000 ,             
SPT                ,          ,     825.0 ,           ,    2571.6001 ,      95.8000 ,      95.8000 ,             
SPT                ,          ,     875.0 ,           ,    2156.8999 ,      78.2000 ,      78.2000 ,             
SPT                ,          ,     925.0 ,           ,    1582.4000 ,      56.9000 ,      56.9000 ,             
SPT                ,          ,     975.0 ,           ,    1137.7000 ,      42.2000 ,      42.2000 ,             
SPT                ,          ,    1025.0 ,           ,    1060.9000 ,      39.1000 ,      39.1000 ,             
SPT                ,          ,    1075.0 ,           ,    1208.3000 ,      42.8000 ,      42.8000 ,             
SPT                ,          ,    1125.0 ,           ,    1186.1000 ,      43.1000 ,      43.1000 ,             
SPT                ,          ,    1175.0 ,           ,    1132.9000 ,      42.5000 ,      42.5000 ,             
SPT                ,          ,    1225.0 ,           ,     916.0000 ,      33.8000 ,      33.8000 ,             
SPT                ,          ,    1275.0 ,           ,     762.6000 ,      27.3000 ,      27.3000 ,             
SPT                ,          ,    1325.0 ,           ,     713.6000 ,      26.3000 ,      26.3000 ,             
SPT                ,          ,    1375.0 ,           ,     744.8000 ,      26.3000 ,      26.3000 ,             
SPT                ,          ,    1425.0 ,           ,     837.1000 ,      28.6000 ,      28.6000 ,             
SPT                ,          ,    1475.0 ,           ,     708.0000 ,      24.0000 ,      24.0000 ,             
SPT                ,          ,    1525.0 ,           ,     613.9000 ,      20.6000 ,      20.6000 ,             
SPT                ,          ,    1575.0 ,           ,     456.6000 ,      16.5000 ,      16.5000 ,             
SPT                ,          ,    1625.0 ,           ,     383.7000 ,      13.6000 ,      13.6000 ,             
SPT                ,          ,    1675.0 ,           ,     378.4000 ,      13.1000 ,      13.1000 ,             
SPT                ,          ,    1725.0 ,           ,     383.8000 ,      13.2000 ,      13.2000 ,             
SPT                ,          ,    1775.0 ,           ,     377.5000 ,      13.1000 ,      13.1000 ,             
SPT                ,          ,    1825.0 ,           ,     323.1000 ,      11.6000 ,      11.6000 ,             
SPT                ,          ,    1875.0 ,           ,     262.0000 ,       9.7000 ,       9.7000 ,             
SPT                ,          ,    1925.0 ,           ,     223.7000 ,       8.5000 ,       8.5000 ,             
SPT                ,          ,    1975.0 ,           ,     227.7000 ,       8.8000 ,       8.8000 ,             
SPT                ,          ,    2025.0 ,           ,     230.3000 ,       9.0000 ,       9.0000 ,             
SPT                ,          ,    2075.0 ,           ,     214.0000 ,       8.5000 ,       8.5000 ,             
SPT                ,          ,    2125.0 ,           ,     177.8000 ,       7.4000 ,       7.4000 ,             
SPT                ,          ,    2175.0 ,           ,     153.6000 ,       6.6000 ,       6.6000 ,             
SPT                ,          ,    2225.0 ,           ,     123.2000 ,       5.7000 ,       5.7000 ,             
SPT                ,          ,    2275.0 ,           ,     117.1000 ,       5.6000 ,       5.6000 ,             
SPT                ,          ,    2325.0 ,           ,     109.9000 ,       5.4000 ,       5.4000 ,             
SPT                ,          ,    2375.0 ,           ,     106.0000 ,       5.5000 ,       5.5000 ,             
SPT                ,          ,    2425.0 ,           ,      96.5000 ,       5.1000 ,       5.1000 ,             
SPT                ,          ,    2475.0 ,           ,      80.9000 ,       4.9000 ,       4.9000 ,             
SPT                ,          ,    2525.0 ,           ,      76.3000 ,       4.9000 ,       4.9000 ,             
SPT                ,          ,    2575.0 ,           ,      62.4000 ,       4.5000 ,       4.5000 ,             
SPT                ,          ,    2625.0 ,           ,      64.3000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2675.0 ,           ,      61.9000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2725.0 ,           ,      53.8000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2775.0 ,           ,      48.6000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2825.0 ,           ,      39.2000 ,       4.4000 ,       4.4000 ,             
SPT                ,          ,    2875.0 ,           ,      33.4000 ,       4.4000 ,       4.4000 ,             
SPT                ,          ,    2925.0 ,           ,      32.8000 ,       4.5000 ,       4.5000 ,             
SPT                ,          ,    2975.0 ,           ,      31.1000 ,       4.6000 ,       4.6000 ,             
WMAP_2013     ,   ,    2   , ,   150.6398   ,    708.3154    ,   708.3154    ,  
WMAP_2013     ,   ,    3   , ,   902.1805   ,    565.3141    ,   565.3141    ,  
WMAP_2013     ,   ,    4   , ,   730.3626   ,    471.9324    ,   471.9324    ,  
WMAP_2013     ,   ,    5   , ,  1467.8517   ,    409.7481    ,   409.7481    ,  
WMAP_2013     ,   ,    6   , ,   688.5324   ,    366.8310    ,   366.8310    ,  
WMAP_2013     ,   ,    7   , ,  1272.9914   ,    336.2774    ,   336.2774    ,  
WMAP_2013     ,   ,    8   , ,   603.8108   ,    313.7279    ,   313.7279    ,  
WMAP_2013     ,   ,    9   , ,   605.5998   ,    296.6357    ,   296.6357    ,  
WMAP_2013     ,   ,   10   , ,   918.1212   ,    283.4338    ,   283.4338    ,  
WMAP_2013     ,   ,   11   , ,   972.2889   ,    272.9552    ,   272.9552    ,  
WMAP_2013     ,   ,   12   , ,   716.7145   ,    264.7720    ,   264.7720    ,  
WMAP_2013     ,   ,   13   , ,   878.0790   ,    258.0293    ,   258.0293    ,  
WMAP_2013     ,   ,   14   , ,   828.4221   ,    252.4174    ,   252.4174    ,  
WMAP_2013     ,   ,   15   , ,  1112.5057   ,    247.5395    ,   247.5395    ,  
WMAP_2013     ,   ,   16   , ,   730.5889   ,    243.9536    ,   243.9536    ,  
WMAP_2013     ,   ,   17   , ,  1014.1750   ,    240.7406    ,   240.7406    ,  
WMAP_2013     ,   ,   18   , ,   729.9205   ,    238.1254    ,   238.1254    ,  
WMAP_2013     ,   ,   19   , ,   868.0217   ,    236.2484    ,   236.2484    ,  
WMAP_2013     ,   ,   20   , ,   731.7402   ,    234.4936    ,   234.4936    ,  
WMAP_2013     ,   ,   21   , ,   648.8223   ,    233.0897    ,   233.0897    ,  
WMAP_2013     ,   ,   22   , ,   625.0736   ,    231.9384    ,   231.9384    ,  
WMAP_2013     ,   ,   23   , ,   755.7853   ,    230.9548    ,   230.9548    ,  
WMAP_2013     ,   ,   24   , ,   844.8535   ,    230.1961    ,   230.1961    ,  
WMAP_2013     ,   ,   25   , ,   749.2468   ,    229.6717    ,   229.6717    ,  
WMAP_2013     ,   ,   26   , ,   885.9176   ,    229.2413    ,   229.2413    ,  
WMAP_2013     ,   ,   27   , ,   942.7882   ,    229.0104    ,   229.0104    ,  
WMAP_2013     ,   ,   28   , ,  1209.2431   ,    228.9189    ,   228.9189    ,  
WMAP_2013     ,   ,   29   , ,  1160.6891   ,    228.9186    ,   228.9186    ,  
WMAP_2013     ,   ,   30   , ,   938.1419   ,    229.0862    ,   229.0862    ,  
WMAP_2013     ,   ,   31   , ,  1095.8896   ,    229.2682    ,   229.2682    ,  
WMAP_2013     ,   ,   32   , ,  1516.8735   ,    229.6210    ,   229.6210    ,  
WMAP_2013     ,   ,   33   , ,  1020.2872   ,    230.0375    ,   230.0375    ,  
WMAP_2013     ,   ,   34   , ,  1015.4604   ,    230.5063    ,   230.5063    ,  
WMAP_2013     ,   ,   35   , ,   897.4112   ,    231.1157    ,   231.1157    ,  
WMAP_2013     ,   ,   36   , ,  1025.1892   ,    231.6972    ,   231.6972    ,  
WMAP_2013     ,   ,   37   , ,  1386.7990   ,    232.3702    ,   232.3702    ,  
WMAP_2013     ,   ,   38   , ,  1349.7274   ,    233.1170    ,   233.1170    ,  
WMAP_2013     ,   ,   39   , ,  1420.2065   ,    233.9524    ,   233.9524    ,  
WMAP_2013     ,   ,   40   , ,  1909.9515   ,    234.8198    ,   234.8198    ,  
WMAP_2013     ,   ,   41   , ,  1206.7104   ,    235.7200    ,   235.7200    ,  
WMAP_2013     ,   ,   42   , ,  1455.2822   ,    236.6470    ,   236.6470    ,  
WMAP_2013     ,   ,   43   , ,  1327.3545   ,    237.6070    ,   237.6070    ,  
WMAP_2013     ,   ,   44   , ,  1292.2217   ,    238.5927    ,   238.5927    ,  
WMAP_2013     ,   ,   45   , ,  1117.7233   ,    239.6376    ,   239.6376    ,  
WMAP_2013     ,   ,   46   , ,  1035.5095   ,    240.7224    ,   240.7224    ,  
WMAP_2013     ,   ,   47   , ,  1644.5292   ,    241.8502    ,   241.8502    ,  
WMAP_2013     ,   ,   48   , ,   914.3522   ,    243.0000    ,   243.0000    ,  
WMAP_2013     ,   ,   49   , ,  1555.2567   ,    244.1906    ,   244.1906    ,  
WMAP_2013     ,   ,   50   , ,  1575.1228   ,    245.4142    ,   245.4142    ,  
WMAP_2013     ,   ,   51   , ,  1176.8585   ,    246.6745    ,   246.6745    ,  
WMAP_2013     ,   ,   52   , ,  1557.1862   ,    247.9800    ,   247.9800    ,  
WMAP_2013     ,   ,   53   , ,  1134.3741   ,    249.2997    ,   249.2997    ,  
WMAP_2013     ,   ,   54   , ,  1252.4326   ,    250.6408    ,   250.6408    ,  
WMAP_2013     ,   ,   55   , ,  1467.5354   ,    251.9857    ,   251.9857    ,  
WMAP_2013     ,   ,   56   , ,  1676.0629   ,    253.3672    ,   253.3672    ,  
WMAP_2013     ,   ,   57   , ,  1598.8917   ,    254.7958    ,   254.7958    ,  
WMAP_2013     ,   ,   58   , ,  1789.8887   ,    256.2588    ,   256.2588    ,  
WMAP_2013     ,   ,   59   , ,  1366.9397   ,    257.7557    ,   257.7557    ,  
WMAP_2013     ,   ,   60   , ,  1905.9812   ,    259.2625    ,   259.2625    ,  
WMAP_2013     ,   ,   61   , ,  1590.6790   ,    260.8036    ,   260.8036    ,  
WMAP_2013     ,   ,   62   , ,  2168.9714   ,    262.3593    ,   262.3593    ,  
WMAP_2013     ,   ,   63   , ,  1791.4490   ,    263.9342    ,   263.9342    ,  
WMAP_2013     ,   ,   64   , ,  1548.8033   ,    265.5331    ,   265.5331    ,  
WMAP_2013     ,   ,   65   , ,  1589.7109   ,    267.1603    ,   267.1603    ,  
WMAP_2013     ,   ,   66   , ,  1616.4797   ,    268.8287    ,   268.8287    ,  
WMAP_2013     ,   ,   67   , ,  1633.3380   ,    270.5178    ,   270.5178    ,  
WMAP_2013     ,   ,   68   , ,  1977.6631   ,    272.2272    ,   272.2272    ,  
WMAP_2013     ,   ,   69   , ,  2382.4131   ,    273.9565    ,   273.9565    ,  
WMAP_2013     ,   ,   70   , ,  1603.8628   ,    275.6945    ,   275.6945    ,  
WMAP_2013     ,   ,   71   , ,  1718.3727   ,    277.4345    ,   277.4345    ,  
WMAP_2013     ,   ,   72   , ,  1447.3859   ,    279.2090    ,   279.2090    ,  
WMAP_2013     ,   ,   73   , ,  2796.8291   ,    281.0110    ,   281.0110    ,  
WMAP_2013     ,   ,   74   , ,  2172.0691   ,    282.8552    ,   282.8552    ,  
WMAP_2013     ,   ,   75   , ,  2078.3823   ,    284.7450    ,   284.7450    ,  
WMAP_2013     ,   ,   76   , ,  1727.9230   ,    286.6585    ,   286.6585    ,  
WMAP_2013     ,   ,   77   , ,  1778.1305   ,    288.5882    ,   288.5882    ,  
WMAP_2013     ,   ,   78   , ,  1656.0239   ,    290.5327    ,   290.5327    ,  
WMAP_2013     ,   ,   79   , ,  1799.3439   ,    292.4905    ,   292.4905    ,  
WMAP_2013     ,   ,   80   , ,  2190.4910   ,    294.4603    ,   294.4603    ,  
WMAP_2013     ,   ,   81   , ,  2086.7888   ,    296.4638    ,   296.4638    ,  
WMAP_2013     ,   ,   82   , ,  2896.8918   ,    298.4805    ,   298.4805    ,  
WMAP_2013     ,   ,   83   , ,  2040.7607   ,    300.5233    ,   300.5233    ,  
WMAP_2013     ,   ,   84   , ,  1890.1868   ,    302.5847    ,   302.5847    ,  
WMAP_2013     ,   ,   85   , ,  2268.7698   ,    304.6575    ,   304.6575    ,  
WMAP_2013     ,   ,   86   , ,  2621.1748   ,    306.7537    ,   306.7537    ,  
WMAP_2013     ,   ,   87   , ,  2440.8008   ,    308.8641    ,   308.8641    ,  
WMAP_2013     ,   ,   88   , ,  1905.3622   ,    310.9791    ,   310.9791    ,  
WMAP_2013     ,   ,   89   , ,  2604.0527   ,    313.1088    ,   313.1088    ,  
WMAP_2013     ,   ,   90   , ,  2099.4607   ,    315.2534    ,   315.2534    ,  
WMAP_2013     ,   ,   91   , ,  2450.8091   ,    317.4035    ,   317.4035    ,  
WMAP_2013     ,   ,   92   , ,  2505.2031   ,    319.5783    ,   319.5783    ,  
WMAP_2013     ,   ,   93   , ,  2816.8608   ,    321.7585    ,   321.7585    ,  
WMAP_2013     ,   ,   94   , ,  2443.0762   ,    323.9535    ,   323.9535    ,  
WMAP_2013     ,   ,   95   , ,  2211.8906   ,    326.1632    ,   326.1632    ,  
WMAP_2013     ,   ,   96   , ,  2358.4727   ,    328.3782    ,   328.3782    ,  
WMAP_2013     ,   ,   97   , ,  2614.5454   ,    330.6171    ,   330.6171    ,  
WMAP_2013     ,   ,   98   , ,  1966.0112   ,    332.8703    ,   332.8703    ,  
WMAP_2013     ,   ,   99   , ,  2966.4709   ,    335.1287    ,   335.1287    ,  
WMAP_2013     ,   ,  100   , ,  2924.8508   ,    337.4105    ,   337.4105    ,  
WMAP_2013     ,   ,  101   , ,  2543.8469   ,    339.6972    ,   339.6972    ,  
WMAP_2013     ,   ,  102   , ,  2720.2131   ,    341.9981    ,   341.9981    ,  
WMAP_2013     ,   ,  103   , ,  2599.6890   ,    344.3129    ,   344.3129    ,  
WMAP_2013     ,   ,  104   , ,  3221.4587   ,    346.6327    ,   346.6327    ,  
WMAP_2013     ,   ,  105   , ,  2242.4265   ,    348.9662    ,   348.9662    ,  
WMAP_2013     ,   ,  106   , ,  2954.0625   ,    351.3047    ,   351.3047    ,  
WMAP_2013     ,   ,  107   , ,  3336.0925   ,    353.6479    ,   353.6479    ,  
WMAP_2013     ,   ,  108   , ,  3998.8875   ,    356.0050    ,   356.0050    ,  
WMAP_2013     ,   ,  109   , ,  2762.9573   ,    358.3669    ,   358.3669    ,  
WMAP_2013     ,   ,  110   , ,  3384.9514   ,    360.7337    ,   360.7337    ,  
WMAP_2013     ,   ,  111   , ,  3051.7939   ,    363.0967    ,   363.0967    ,  
WMAP_2013     ,   ,  112   , ,  2887.9824   ,    365.4645    ,   365.4645    ,  
WMAP_2013     ,   ,  113   , ,  2480.0417   ,    367.8459    ,   367.8459    ,  
WMAP_2013     ,   ,  114   , ,  2409.7405   ,    370.2148    ,   370.2148    ,  
WMAP_2013     ,   ,  115   , ,  3268.6541   ,    372.5969    ,   372.5969    ,  
WMAP_2013     ,   ,  116   , ,  3811.4221   ,    374.9666    ,   374.9666    ,  
WMAP_2013     ,   ,  117   , ,  4525.1748   ,    377.3410    ,   377.3410    ,  
WMAP_2013     ,   ,  118   , ,  3814.0127   ,    379.7200    ,   379.7200    ,  
WMAP_2013     ,   ,  119   , ,  3508.1113   ,    382.0867    ,   382.0867    ,  
WMAP_2013     ,   ,  120   , ,  2729.0261   ,    384.4579    ,   384.4579    ,  
WMAP_2013     ,   ,  121   , ,  4321.1660   ,    386.8170    ,   386.8170    ,  
WMAP_2013     ,   ,  122   , ,  3412.7195   ,    389.1724    ,   389.1724    ,  
WMAP_2013     ,   ,  123   , ,  3790.3740   ,    391.5241    ,   391.5241    ,  
WMAP_2013     ,   ,  124   , ,  2924.6956   ,    393.8722    ,   393.8722    ,  
WMAP_2013     ,   ,  125   , ,  3185.2681   ,    396.2084    ,   396.2084    ,  
WMAP_2013     ,   ,  126   , ,  3580.9934   ,    398.5412    ,   398.5412    ,  
WMAP_2013     ,   ,  127   , ,  3666.7271   ,    400.8623    ,   400.8623    ,  
WMAP_2013     ,   ,  128   , ,  3606.9521   ,    403.1718    ,   403.1718    ,  
WMAP_2013     ,   ,  129   , ,  3165.2322   ,    405.4699    ,   405.4699    ,  
WMAP_2013     ,   ,  130   , ,  4150.1636   ,    407.7567    ,   407.7567    ,  
WMAP_2013     ,   ,  131   , ,  3447.0515   ,    410.0322    ,   410.0322    ,  
WMAP_2013     ,   ,  132   , ,  3083.1873   ,    412.2967    ,   412.2967    ,  
WMAP_2013     ,   ,  133   , ,  3817.7319   ,    414.5425    ,   414.5425    ,  
WMAP_2013     ,   ,  134   , ,  3468.9634   ,    416.7779    ,   416.7779    ,  
WMAP_2013     ,   ,  135   , ,  4201.2715   ,    419.0030    ,   419.0030    ,  
WMAP_2013     ,   ,  136   , ,  4890.7632   ,    421.2022    ,   421.2022    ,  
WMAP_2013     ,   ,  137   , ,  3775.5205   ,    423.3840    ,   423.3840    ,  
WMAP_2013     ,   ,  138   , ,  4164.5327   ,    425.5563    ,   425.5563    ,  
WMAP_2013     ,   ,  139   , ,  4347.6631   ,    427.6960    ,   427.6960    ,  
WMAP_2013     ,   ,  140   , ,  3914.2166   ,    429.8269    ,   429.8269    ,  
WMAP_2013     ,   ,  141   , ,  4192.7090   ,    431.9337    ,   431.9337    ,  
WMAP_2013     ,   ,  142   , ,  4363.0615   ,    434.0166    ,   434.0166    ,  
WMAP_2013     ,   ,  143   , ,  4419.2988   ,    436.0839    ,   436.0839    ,  
WMAP_2013     ,   ,  144   , ,  3604.4880   ,    438.1205    ,   438.1205    ,  
WMAP_2013     ,   ,  145   , ,  5339.9785   ,    440.1342    ,   440.1342    ,  
WMAP_2013     ,   ,  146   , ,  4163.4360   ,    442.1257    ,   442.1257    ,  
WMAP_2013     ,   ,  147   , ,  4199.7925   ,    444.0874    ,   444.0874    ,  
WMAP_2013     ,   ,  148   , ,  3903.4314   ,    446.0199    ,   446.0199    ,  
WMAP_2013     ,   ,  149   , ,  3633.2964   ,    447.9312    ,   447.9312    ,  
WMAP_2013     ,   ,  150   , ,  4808.1904   ,    449.8140    ,   449.8140    ,  
WMAP_2013     ,   ,  151   , ,  3958.1355   ,    451.6685    ,   451.6685    ,  
WMAP_2013     ,   ,  152   , ,  4484.4058   ,    453.4878    ,   453.4878    ,  
WMAP_2013     ,   ,  153   , ,  5174.7725   ,    455.2868    ,   455.2868    ,  
WMAP_2013     ,   ,  154   , ,  4169.3042   ,    457.0585    ,   457.0585    ,  
WMAP_2013     ,   ,  155   , ,  4952.2485   ,    458.8029    ,   458.8029    ,  
WMAP_2013     ,   ,  156   , ,  4203.0552   ,    460.5129    ,   460.5129    ,  
WMAP_2013     ,   ,  157   , ,  4471.1460   ,    462.2036    ,   462.2036    ,  
WMAP_2013     ,   ,  158   , ,  5765.2358   ,    463.8676    ,   463.8676    ,  
WMAP_2013     ,   ,  159   , ,  4885.1802   ,    465.5053    ,   465.5053    ,  
WMAP_2013     ,   ,  160   , ,  4938.2744   ,    467.1168    ,   467.1168    ,  
WMAP_2013     ,   ,  161   , ,  4377.1118   ,    468.6950    ,   468.6950    ,  
WMAP_2013     ,   ,  162   , ,  4052.7625   ,    470.2475    ,   470.2475    ,  
WMAP_2013     ,   ,  163   , ,  4709.3882   ,    471.7744    ,   471.7744    ,  
WMAP_2013     ,   ,  164   , ,  5139.1499   ,    473.2616    ,   473.2616    ,  
WMAP_2013     ,   ,  165   , ,  4648.7793   ,    474.7236    ,   474.7236    ,  
WMAP_2013     ,   ,  166   , ,  4948.3403   ,    476.1463    ,   476.1463    ,  
WMAP_2013     ,   ,  167   , ,  5066.4209   ,    477.5444    ,   477.5444    ,  
WMAP_2013     ,   ,  168   , ,  5243.1558   ,    478.8966    ,   478.8966    ,  
WMAP_2013     ,   ,  169   , ,  4946.0791   ,    480.2246    ,   480.2246    ,  
WMAP_2013     ,   ,  170   , ,  4467.5044   ,    481.5073    ,   481.5073    ,  
WMAP_2013     ,   ,  171   , ,  5054.9238   ,    482.7592    ,   482.7592    ,  
WMAP_2013     ,   ,  172   , ,  4901.3516   ,    483.9664    ,   483.9664    ,  
WMAP_2013     ,   ,  173   , ,  5129.0752   ,    485.1362    ,   485.1362    ,  
WMAP_2013     ,   ,  174   , ,  5053.8418   ,    486.2690    ,   486.2690    ,  
WMAP_2013     ,   ,  175   , ,  4927.3008   ,    487.3650    ,   487.3650    ,  
WMAP_2013     ,   ,  176   , ,  5310.4492   ,    488.4105    ,   488.4105    ,  
WMAP_2013     ,   ,  177   , ,  4889.2148   ,    489.4199    ,   489.4199    ,  
WMAP_2013     ,   ,  178   , ,  4804.4229   ,    490.3866    ,   490.3866    ,  
WMAP_2013     ,   ,  179   , ,  6070.4478   ,    491.3040    ,   491.3040    ,  
WMAP_2013     ,   ,  180   , ,  5318.7593   ,    492.1864    ,   492.1864    ,  
WMAP_2013     ,   ,  181   , ,  4258.4141   ,    493.0203    ,   493.0203    ,  
WMAP_2013     ,   ,  182   , ,  4406.9990   ,    493.8130    ,   493.8130    ,  
WMAP_2013     ,   ,  183   , ,  4665.1104   ,    494.5580    ,   494.5580    ,  
WMAP_2013     ,   ,  184   , ,  5555.3799   ,    495.2625    ,   495.2625    ,  
WMAP_2013     ,   ,  185   , ,  5570.0400   ,    495.9270    ,   495.9270    ,  
WMAP_2013     ,   ,  186   , ,  5615.7773   ,    496.5381    ,   496.5381    ,  
WMAP_2013     ,   ,  187   , ,  5001.3354   ,    497.1098    ,   497.1098    ,  
WMAP_2013     ,   ,  188   , ,  6005.6304   ,    497.6425    ,   497.6425    ,  
WMAP_2013     ,   ,  189   , ,  6189.0991   ,    498.1230    ,   498.1230    ,  
WMAP_2013     ,   ,  190   , ,  6164.7241   ,    498.5652    ,   498.5652    ,  
WMAP_2013     ,   ,  191   , ,  5392.3564   ,    498.9560    ,   498.9560    ,  
WMAP_2013     ,   ,  192   , ,  5697.6543   ,    499.3092    ,   499.3092    ,  
WMAP_2013     ,   ,  193   , ,  6105.7490   ,    499.6117    ,   499.6117    ,  
WMAP_2013     ,   ,  194   , ,  5102.0293   ,    499.8772    ,   499.8772    ,  
WMAP_2013     ,   ,  195   , ,  4545.5459   ,    500.0928    ,   500.0928    ,  
WMAP_2013     ,   ,  196   , ,  5287.7051   ,    500.2655    ,   500.2655    ,  
WMAP_2013     ,   ,  197   , ,  5737.7993   ,    500.3955    ,   500.3955    ,  
WMAP_2013     ,   ,  198   , ,  6151.8813   ,    500.4833    ,   500.4833    ,  
WMAP_2013     ,   ,  199   , ,  5147.4673   ,    500.5292    ,   500.5292    ,  
WMAP_2013     ,   ,  200   , ,  5496.0459   ,    500.5269    ,   500.5269    ,  
WMAP_2013     ,   ,  201   , ,  5281.0322   ,    500.4833    ,   500.4833    ,  
WMAP_2013     ,   ,  202   , ,  5979.9434   ,    500.3922    ,   500.3922    ,  
WMAP_2013     ,   ,  203   , ,  6082.6826   ,    500.2539    ,   500.2539    ,  
WMAP_2013     ,   ,  204   , ,  6271.7988   ,    500.0688    ,   500.0688    ,  
WMAP_2013     ,   ,  205   , ,  5776.6455   ,    499.8371    ,   499.8371    ,  
WMAP_2013     ,   ,  206   , ,  5170.5469   ,    499.5593    ,   499.5593    ,  
WMAP_2013     ,   ,  207   , ,  5194.6138   ,    499.2355    ,   499.2355    ,  
WMAP_2013     ,   ,  208   , ,  5098.0552   ,    498.8596    ,   498.8596    ,  
WMAP_2013     ,   ,  209   , ,  4825.1479   ,    498.4321    ,   498.4321    ,  
WMAP_2013     ,   ,  210   , ,  6167.0425   ,    497.9660    ,   497.9660    ,  
WMAP_2013     ,   ,  211   , ,  5698.5942   ,    497.4489    ,   497.4489    ,  
WMAP_2013     ,   ,  212   , ,  5665.0674   ,    496.8874    ,   496.8874    ,  
WMAP_2013     ,   ,  213   , ,  5905.9917   ,    496.2817    ,   496.2817    ,  
WMAP_2013     ,   ,  214   , ,  5310.0068   ,    495.6259    ,   495.6259    ,  
WMAP_2013     ,   ,  215   , ,  6641.1401   ,    494.9266    ,   494.9266    ,  
WMAP_2013     ,   ,  216   , ,  5680.7964   ,    494.1839    ,   494.1839    ,  
WMAP_2013     ,   ,  217   , ,  5504.0088   ,    493.3984    ,   493.3984    ,  
WMAP_2013     ,   ,  218   , ,  6046.3525   ,    492.5638    ,   492.5638    ,  
WMAP_2013     ,   ,  219   , ,  5328.9072   ,    491.6867    ,   491.6867    ,  
WMAP_2013     ,   ,  220   , ,  6371.5835   ,    490.7612    ,   490.7612    ,  
WMAP_2013     ,   ,  221   , ,  5928.8853   ,    489.7938    ,   489.7938    ,  
WMAP_2013     ,   ,  222   , ,  6154.8589   ,    488.7785    ,   488.7785    ,  
WMAP_2013     ,   ,  223   , ,  5915.8833   ,    487.7155    ,   487.7155    ,  
WMAP_2013     ,   ,  224   , ,  5747.5571   ,    486.6114    ,   486.6114    ,  
WMAP_2013     ,   ,  225   , ,  5361.2681   ,    485.4602    ,   485.4602    ,  
WMAP_2013     ,   ,  226   , ,  5898.5264   ,    484.2683    ,   484.2683    ,  
WMAP_2013     ,   ,  227   , ,  6048.2891   ,    483.0298    ,   483.0298    ,  
WMAP_2013     ,   ,  228   , ,  4800.3794   ,    481.7511    ,   481.7511    ,  
WMAP_2013     ,   ,  229   , ,  5121.4668   ,    480.4325    ,   480.4325    ,  
WMAP_2013     ,   ,  230   , ,  5443.4077   ,    479.0679    ,   479.0679    ,  
WMAP_2013     ,   ,  231   , ,  5704.3267   ,    477.6578    ,   477.6578    ,  
